frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
398,40.205,37.19,25.66,0,0.0,0.0,0.0
399,40.305,37.58,25.69,0,0.0,0.0,0.0
400,40.404,36.43,25.73,0,0.0,0.0,0.0
401,40.506,38.52,25.75,0,0.0,0.0,0.0
402,40.606,38.15,25.77,0,0.0,0.0,0.0
403,40.706,38.36,25.79,0,0.0,0.0,0.0
404,40.807,38.74,25.8,0,0.0,0.0,0.0
405,40.906,38.21,25.81,0,0.0,0.0,0.0
406,41.007,38.78,25.83,0,0.0,0.0,0.0
407,41.109,39.14,25.83,0,0.0,0.0,0.0
408,41.208,39.54,25.82,1,0.7806,0.365,15230.0
409,41.307,39.02,25.83,0,0.0,0.0,0.0
410,41.407,39.01,25.82,1,0.8942,0.298,31173.0
411,41.507,38.07,25.86,0,0.0,0.0,0.0
412,41.605,36.15,25.91,0,0.0,0.0,0.0
413,41.707,38.48,25.93,0,0.0,0.0,0.0
414,41.807,38.24,25.95,0,0.0,0.0,0.0
415,41.907,38.49,25.95,0,0.0,0.0,0.0
416,42.002,34.53,26.08,0,0.0,0.0,0.0
417,42.106,37.62,26.13,0,0.0,0.0,0.0
418,42.203,35.03,26.22,0,0.0,0.0,0.0
419,42.307,38.53,26.25,0,0.0,0.0,0.0
420,42.404,35.95,26.3,0,0.0,0.0,0.0
421,42.505,36.18,26.36,0,0.0,0.0,0.0
422,42.608,37.97,26.38,0,0.0,0.0,0.0
423,42.709,39.56,26.38,0,0.0,0.0,0.0
424,42.808,38.68,26.35,0,0.0,0.0,0.0
425,42.91,40.02,26.31,1,0.6547,0.466,33634.0
426,43.01,39.69,26.3,1,0.7061,0.426,36924.0
427,43.109,39.55,26.28,1,0.7815,0.382,45069.0
428,43.209,38.32,26.26,1,0.812,0.362,49107.0
429,43.309,39.69,26.21,1,0.8227,0.355,51586.0
430,43.409,39.05,26.15,1,0.833,0.355,52048.0
431,43.509,39.57,26.12,1,0.821,0.357,51377.0
432,43.609,38.76,26.11,1,0.8168,0.36,50369.0
433,43.71,39.56,26.08,1,0.8166,0.361,49077.0
434,43.809,39.01,26.08,1,0.8178,0.363,47981.0
435,43.91,39.18,26.06,1,0.812,0.366,47548.0
436,44.009,38.68,26.06,1,0.8146,0.368,47278.0
437,44.109,38.56,26.07,1,0.8119,0.368,46989.0
438,44.209,38.94,26.08,1,0.8131,0.37,46508.0
439,44.31,39.57,26.07,1,0.8162,0.372,45493.0
440,44.409,38.82,26.08,1,0.8217,0.372,45893.0
